generation;brain
0;[[[600, 100, 3], [800, 50, 2]], [[900, 40, 1], [640, -100, 3]], [[700, 50, 2]], [[800, 10, 1]]]
1;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2]]]]
2;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2]]]]
3;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2]]]]
4;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2]]]]
5;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1]]]]
6;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1]]]]
7;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
8;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
9;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
10;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3], [816, 130, 6]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
11;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3], [816, 130, 6]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
12;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3], [816, 130, 6]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2], [1318, 159, 4]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
13;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3], [816, 130, 6]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2], [1318, 159, 4]]], [[1153, 183, 3, [862, 109, 6]], [703, 209, 2]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
14;[[[800, 50, 2, [1386, 275, 3]]], [[700, 50, 2, [816, 160, 1], [961, 69, 3], [816, 130, 6]]], [[800, 10, 1, [837, 247, 4], [1324, 229, 4], [1073, 80, 2], [1318, 159, 4]]], [[941, 257, 1, [1380, 73, 2], [1314, 237, 1], [1003, 184, 4]]]]
